            Australian Bureau of Statistics,I0ut,Commodity,Measure or Industry division (ANZSIC),Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Production of Energy,Diesel,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Other refined fuels and products,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,LPG,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Biofuels,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Wood and wood waste,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Bagasse,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Electricity,Mining,PJ,7.00,7.00,9.00,9.00,10.00,12.00,11.00,12.00,12.00,12.00,25.00,28.00,31.00,37.00,36.00,37.00
Supply,Production of Energy,Hydro energy,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Solar energy ,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supply,Production of Energy,Wind energy,Mining,PJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
