            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"46040DO0004 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.1 Detailed gross physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Input,Commodity,Measure or Industry division (ANZSIC) ,ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Supply,Production of Energy,Electricity,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,2,2,3,3,3,4,3,3,2,3,4,4,5,5,4,4
Supply,Production of Energy,Hydro energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Manufacturing,C,"Wood, paper, printing","14,15,16",PJ,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1
Supply,Production of Energy,Black coal,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,11,4,8,9,7,6,6,6,6,6,5,5,1,-,-,-
Supply,Production of Energy,Briquettes,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,613,594,613,565,606,584,587,574,569,533,534,497,436,398,378,390
Supply,Production of Energy,Diesel,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,515,499,510,397,428,470,473,452,498,494,499,481,442,347,335,355
Supply,Production of Energy,Other refined fuels and products,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,509,540,521,469,489,492,463,427,508,604,555,510,462,381,393,399
Supply,Production of Energy,LPG,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,49,33,38,42,49,50,49,45,60,50,48,45,39,32,30,30
Supply,Production of Energy,Biofuels,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,1,1,1,1,1,2,3,3,3,4,3,4,4,1,2,2
Supply,Production of Energy,Wood and wood waste,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,2,2,1,1,2,2,2,2,2,2,4,4,4,4,4,4
Supply,Production of Energy,Hydro energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Manufacturing,C,Petroleum and chemical products,"17,18,19",PJ,116,56,75,147,155,89,112,128,214,124,176,169,103,122,107,106
Supply,Production of Energy,Black coal,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Manufacturing,C,Iron and steel,"211,212",PJ,89,96,95,91,91,91,68,85,91,81,85,79,72,73,71,68
Supply,Production of Energy,Coal by-products,Manufacturing,C,Iron and steel,"211,212",PJ,57,61,64,65,63,64,52,62,64,49,46,44,44,44,46,44
Supply,Production of Energy,Briquettes,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Manufacturing,C,Iron and steel,"211,212",PJ,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
Supply,Production of Energy,Hydro energy,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Manufacturing,C,Iron and steel,"211,212",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Manufacturing,C,Iron and steel,"211,212",PJ,55,57,49,56,61,59,93,120,121,89,77,70,76,76,82,82
Supply,Production of Energy,Black coal,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Manufacturing,C,Non-ferrous metals,"213,214",PJ,12,13,11,11,14,15,15,17,18,18,11,11,11,10,10,11
Supply,Production of Energy,Hydro energy,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Manufacturing,C,Non-ferrous metals,"213,214",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Manufacturing,C,Non-ferrous metals,"213,214",PJ,4,5,7,8,7,6,6,4,4,4,6,6,6,1,2,3
Supply,Production of Energy,Black coal,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Hydro energy,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Manufacturing,C,Other manufacturing,"20,22,23,24,25",PJ,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
Supply,Production of Energy,Black coal,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,732,727,737,745,728,732,752,759,737,745,645,625,678,635,584,473
Supply,Production of Energy,Coke,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,11,4,7,8,7,6,6,6,6,6,5,5,1,-,-,-
Supply,Production of Energy,Natural gas,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1
Supply,Production of Energy,Wood and wood waste,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,761,787,783,798,828,821,839,852,852,840,824,819,828,825,829,837
Supply,Production of Energy,Hydro energy,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,59,59,56,58,52,43,43,49,60,51,66,66,48,55,59,58
Supply,Production of Energy,Solar energy ,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,1,2,6,9,14,16,20,24,29,35
Supply,Production of Energy,Wind energy,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,3,3,3,6,9,11,14,18,22,25,29,37,41,44,45,55
Supply,Production of Energy,Uranium,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,"Electricity, gas, water and waste services",D,Electricity supply,26,PJ,"1,457","1,518","1,572","1,584","1,633","1,640","1,713","1,582","1,505","1,534","1,414","1,370","1,442","1,427","1,406","1,336"
Supply,Production of Energy,Black coal,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Hydro energy,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,"Electricity, gas, water and waste services",D,Gas supply,27,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Black coal,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,5,4,4,4,4,6,8,9,11,11,11,12,11,10,10,12
Supply,Production of Energy,Wood and wood waste,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,1,1,1,1,1,1,-,1,1,1,1,1,1,1
Supply,Production of Energy,Hydro energy,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,3,3,3,2,6,7,8,10,12,12,13,13,15,15,16,17
Supply,Production of Energy,Wind energy,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,"Electricity, gas, water and waste services",D,Water and waste services,"28,29",PJ,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-
Supply,Production of Energy,Black coal,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Brown coal,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coke,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Coal by-products,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Briquettes,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Natural gas,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LNG,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Crude oil and feedstocks,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Petrol,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Diesel,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Other refined fuels and products,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,LPG,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Biofuels,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wood and wood waste,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Bagasse,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Electricity,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,1,1,1,4,4,4
Supply,Production of Energy,Hydro energy,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Solar energy ,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Wind energy,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Uranium,Construction,E,Construction Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Supply,Production of Energy,Residuals,Construction,E,Construction Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,2,-,-,1
Supply,Production of Energy,Black coal,Wholesale trade,F,Wholesale trade Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
