"Australian Bureau of Statistics",,,,,,,,,,,,,,,,,,,,,,
"46040DO0006 Energy Account, Australia, 2017-18",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 11 December 2019,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1 Detailed net physical supply and use of energy, Australia, 2002-03 to 2017-18",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Supply or Use,Commodity,Industry division (ANZSIC),ANZSIC division code,Industry subdivision,ANZSIC subdivision code,Unit,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
Use,Brown coal,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Use,Liquefied natural gas,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,1,1,1,1,1,1,1,1,1,1,-,-,-,1,1
Use,Diesel,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,Other refined fuels and products,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,9,9,9,9,9,9,9,9,9,9,10,10,9,9,9,9
Use,Hydro energy,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Information Media and Telecommunications,J,Information media and telecommunications Total,,PJ,11,11,11,11,11,11,11,11,12,11,12,13,11,11,12,12
Use,Black coal,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Liquefied natural gas,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Diesel,Financial and insurance services,K,Financial and insurance services Total,,PJ,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Use,Other refined fuels and products,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Financial and insurance services,K,Financial and insurance services Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,Hydro energy,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Financial and insurance services,K,Financial and insurance services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Financial and insurance services,K,Financial and insurance services Total,,PJ,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
Use,Black coal,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7
Use,Liquefied natural gas,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Use,Diesel,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,8,8,9,9,9,10,10,9,11,13,12,13,13,13,14,15
Use,Other refined fuels and products,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-
Use,Biofuels,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,21,21,21,21,23,23,23,23,23,23,24,25,19,19,20,20
Use,Hydro energy,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,"Rental, hiring and real estate services",L,"Rental, hiring and real estate services Total",,PJ,37,37,38,39,40,41,40,40,42,44,45,46,41,42,43,45
Use,Black coal,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4
Use,Liquefied natural gas,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Use,Diesel,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,7
Use,Other refined fuels and products,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
Use,Biofuels,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5
Use,Hydro energy,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,"Professional, scientific and technical services",M,"Professional, scientific and technical services Total",,PJ,14,15,15,15,15,16,15,16,16,16,16,17,17,17,18,18
Use,Black coal,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Liquefied natural gas,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Administrative and support services,N,Administrative and support services Total,,PJ,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Use,Diesel,Administrative and support services,N,Administrative and support services Total,,PJ,4,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7
Use,Other refined fuels and products,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
Use,Biofuels,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Administrative and support services,N,Administrative and support services Total,,PJ,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Use,Hydro energy,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Administrative and support services,N,Administrative and support services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Administrative and support services,N,Administrative and support services Total,,PJ,9,9,9,10,10,10,10,10,11,11,11,11,13,13,13,13
Use,Black coal,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Public administration and safety,O,Public administration and safety Total,,PJ,4,4,4,4,4,5,4,5,5,5,5,5,4,5,5,5
Use,Liquefied natural gas,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Public administration and safety,O,Public administration and safety Total,,PJ,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
Use,Diesel,Public administration and safety,O,Public administration and safety Total,,PJ,13,15,15,15,16,17,17,18,19,20,21,22,18,19,19,20
Use,Other refined fuels and products,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Public administration and safety,O,Public administration and safety Total,,PJ,10,11,10,10,11,11,11,11,11,11,12,12,14,15,15,15
Use,Hydro energy,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Public administration and safety,O,Public administration and safety Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Public administration and safety,O,Public administration and safety Total,,PJ,32,34,34,35,35,37,37,38,39,40,42,43,41,42,44,45
Use,Black coal,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Education and training,P,Education and training Total,,PJ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
Use,Liquefied natural gas,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Education and training,P,Education and training Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,Diesel,Education and training,P,Education and training Total,,PJ,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Use,Other refined fuels and products,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Education and training,P,Education and training Total,,PJ,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11
Use,Hydro energy,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Education and training,P,Education and training Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Education and training,P,Education and training Total,,PJ,17,17,17,17,18,18,18,18,19,18,19,20,19,19,20,21
Use,Black coal,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Health care and social assistance,Q,Health care and social assistance Total,,PJ,9,8,9,9,9,9,9,9,9,9,9,10,9,9,10,11
Use,Liquefied natural gas,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Health care and social assistance,Q,Health care and social assistance Total,,PJ,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
Use,Diesel,Health care and social assistance,Q,Health care and social assistance Total,,PJ,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4
Use,Other refined fuels and products,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Health care and social assistance,Q,Health care and social assistance Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
Use,Biofuels,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Health care and social assistance,Q,Health care and social assistance Total,,PJ,12,12,12,12,12,13,12,13,13,13,14,14,13,13,14,14
Use,Hydro energy,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Health care and social assistance,Q,Health care and social assistance Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Health care and social assistance,Q,Health care and social assistance Total,,PJ,27,27,27,28,29,29,28,29,30,29,31,32,29,29,31,31
Use,Black coal,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Arts and recreation services,R,Arts and recreation services Total,,PJ,2,2,2,2,3,3,2,3,3,3,3,3,2,2,3,3
Use,Liquefied natural gas,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Arts and recreation services,R,Arts and recreation services Total,,PJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Use,Diesel,Arts and recreation services,R,Arts and recreation services Total,,PJ,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Use,Other refined fuels and products,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,LPG,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Biofuels,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wood and Wood waste,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Bagasse,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Electricity,Arts and recreation services,R,Arts and recreation services Total,,PJ,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6
Use,Hydro energy,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Solar energy,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Wind energy,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Uranium,Arts and recreation services,R,Arts and recreation services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Total,Arts and recreation services,R,Arts and recreation services Total,,PJ,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12
Use,Black coal,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Brown coal,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coke,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Coal by-products,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Briquettes,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Natural gas,Other services,S,Other services Total,,PJ,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,4
Use,Liquefied natural gas,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Crude oil and feedstocks,Other services,S,Other services Total,,PJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Use,Petrol,Other services,S,Other services Total,,PJ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
